Iteration	AverageLoss	StdLoss	AverageReturn	MaxReturn	MinReturn	StdReturn	AverageLen	MaxLen	MinLen	StdLen
0	13.020559	67.15164	145.98745652066253	276.1485553110428	84.63039747183942	43.79772671893425	29.4	51	18	7.958643100428616
1	0.8416756	0.38261113	222.7391697552658	312.98157412653836	141.84922929736308	50.954361969432604	47.3	65	33	10.35905401086412
2	0.48275575	0.20450409	233.62460116306238	318.6601203081905	170.85644428820805	39.652868576531205	47.3	61	35	7.5967098141234795
3	0.32417226	0.07122497	247.33271927013547	386.6223139530225	171.95088763037114	60.94137028548813	49.05	73	34	11.659652653488438
4	0.35202822	0.27730954	266.16566825989366	504.9494804240154	182.2970216346887	80.63419372208774	52.0	93	36	14.003570973148241
5	0.25064495	0.16927066	236.80367991961594	373.5954463614801	174.3355565976724	53.33126972987097	46.9	80	35	12.389108119634763
6	0.22753642	0.059681553	213.64500948514723	441.3754258929344	168.22600159326336	55.44668133212202	42.6	83	35	10.081666528902849
7	0.2216596	0.074567	267.65580600688423	505.6885323042873	153.10607930347425	99.776953767147	53.65	96	33	18.741064537533614
8	0.19769138	0.059055775	193.64590437826763	237.15974512841007	169.08147603372856	16.74649236527832	39.0	54	34	4.626013402488151
9	0.1754092	0.040720884	380.53073079343875	616.7973303636022	249.4180476425191	101.0454528233214	73.95	120	50	18.410526880021656
10	0.18588735	0.09864704	339.8152777224179	484.19461245884656	254.1110281782747	59.07896581466643	68.05	93	54	11.302543961427446
11	0.14794041	0.029437482	245.8904598043991	356.1603624300412	204.1813553261601	44.001050082354226	50.7	72	43	8.57962703152066
12	0.13857983	0.03335336	345.9384250922426	580.9888359226304	233.9172549782073	70.89285553962206	67.75	109	48	12.47747971346778
13	0.12801377	0.025044926	337.9389750575201	442.0138492556092	257.3908069933788	37.21150393354709	65.95	88	52	6.909956584523524
14	0.11641445	0.021785641	372.90926926773824	709.6939153942627	231.7559122219615	118.14245148637622	70.5	134	46	21.93057226795507
15	0.11136101	0.021324173	430.4767084406018	688.895357208	231.3218881282648	128.85897635676713	82.4	134	49	22.880996481796856
16	0.101666614	0.01897878	429.2047597696818	633.3602869968721	276.64817645436995	106.87367830805275	78.25	109	54	16.726849673503974
17	0.10173621	0.019428298	486.91673520356744	813.7042949883411	312.97154891897384	155.5199800782808	86.75	139	57	24.891514618439754
18	0.09494423	0.024737597	431.7754367742259	1034.384755311094	279.89858104907125	159.49836031222918	77.0	157	53	23.822258499143192
19	0.09215452	0.020256767	536.4154826515263	1205.157003247386	306.56233725163094	238.2486407872648	88.0	181	56	33.30465432938766
20	0.086889	0.016233128	469.4504803598726	997.0387749293236	330.80800661101364	190.20354708526452	79.8	149	62	25.427544120500507
21	0.0833576	0.01638545	436.63902690712837	724.9184600664296	297.9134470647244	107.09707455607611	74.25	112	55	14.84208543298414
22	0.08192564	0.014298591	654.511050587569	998.6644020792415	427.8807145760072	140.48670663334397	112.7	161	80	21.97066225674593
23	0.07950947	0.013687737	605.5115697624735	990.6410276249992	371.62128243707343	171.64889812810927	99.4	156	66	24.121359828998035
24	0.07540877	0.013899384	476.46401976163116	801.2156150703016	298.15446438971867	164.88418546399558	81.3	125	56	22.76861875476859
25	0.074501	0.013081187	658.5139713098124	1145.8619105917946	352.3474383229472	211.75780328343697	108.1	202	62	34.40334286083258
26	0.0730992	0.013695073	588.6991010028814	997.5681342905605	313.21504540608464	184.01382394572735	98.8	151	59	24.664954895559813
27	0.07273876	0.014935386	505.8720615885415	910.3552474043717	328.59865051966835	147.08425053915443	85.25	137	60	21.07575621419075
28	0.06858523	0.013375732	326.1012829693346	502.57818316023855	252.77783847781788	54.87929382254795	59.45	84	50	7.539728111808808
29	0.06670946	0.0113635985	572.1965070560049	1208.7793323485478	256.59811339436993	249.09395272260807	89.35	156	49	29.29722683122073
30	0.0678968	0.014527816	841.5793833326743	1612.5217117318514	427.48495529721424	334.9139178078434	135.4	241	74	46.49236496458316
31	0.06339224	0.012253878	769.9100286578183	1605.0716575812507	277.0912090121552	383.978823667368	119.3	216	52	47.180610424198626
32	0.06254714	0.009990566	376.0123493115362	578.7265121684416	286.0688822036879	78.20783122000678	67.35	96	55	10.996704051669301
33	0.0619162	0.010886388	672.2526223503594	1750.9798045663051	257.48312865824045	336.4701905721384	103.95	220	50	39.271459101999255
34	0.06213333	0.02308486	648.3946428273414	2511.52777065134	297.24919751042717	477.4639865773813	98.25	283	56	49.175069903356516
35	0.059487242	0.010407193	797.0904227643136	1727.0344183639163	349.3295956405607	327.92858839626246	120.6	232	64	39.355304597982716
36	0.058536034	0.0091823395	646.873973526673	1268.4213752440048	272.0660626836967	244.6906283364274	100.4	176	52	30.671485128698937
37	0.058475744	0.012048354	470.1239796420229	709.7378506679175	333.66483163447856	102.82209444944067	77.75	115	59	14.201672436723781
38	0.056763414	0.00904888	558.5012264401713	1608.6571588303439	319.94138449848447	278.6430566137905	92.35	209	59	32.8318062250617
39	0.056353126	0.012655958	643.6121818021257	1255.6639413169398	263.4415360090323	208.85951208247198	98.4	165	49	24.397540859685016
40	0.05596483	0.009583547	620.9723153143512	906.6371385700276	341.34342903202406	142.688489699053	96.0	131	61	17.575551200460257
41	0.054437257	0.009374404	903.7290662310736	2085.647577680413	490.4664812622814	444.68335717813846	131.05	252	81	48.844114282070876
42	0.05469115	0.009341733	791.62034911088	2192.82782875874	300.84360803600794	466.61281985494344	117.25	254	56	49.9598588869104
43	0.05435803	0.008862831	502.79576363452736	785.4495611968986	308.47761228057357	146.36011320844568	81.35	116	57	18.464222160708534
44	0.053521227	0.009023279	924.594671787662	3026.815283043786	456.6284889934873	552.2252492419223	133.7	339	78	57.13239011278979
45	0.05269791	0.009207361	996.7633660771053	2149.4431512473116	341.73965921571204	559.2149799823244	140.2	270	61	63.61414936946026
46	0.05203859	0.009850471	1005.6592488081473	2960.0174873052288	389.23627944317093	689.2456766707844	141.25	347	67	77.22556247771848
47	0.05116104	0.008322012	724.0232957124513	1834.362736004559	370.9260745475124	351.3261235049567	109.05	229	65	38.762707593768525
48	0.052010722	0.008503042	884.6705546749978	1844.374806117895	538.8799838612031	319.6710371335663	135.8	232	96	35.0907395191381
49	0.051532887	0.009308943	742.6404028390764	1168.6071194910671	524.0680575508013	191.52641280097953	113.8	161	89	21.301643129110953
50	0.05079428	0.009259212	915.7346432427396	1715.831862550737	500.59027056385526	394.79559868898707	130.7	216	86	42.88834340470613
51	0.050009467	0.008068547	881.0639103456595	1777.311121176442	427.08591661151144	381.1297311901214	131.7	238	78	43.319856878803286
52	0.04883183	0.0072113643	899.4102704058345	3650.558094768195	345.1906517144419	732.8222969220515	121.8	388	60	72.72867385013974
53	0.048687555	0.0077967285	926.9863116777726	1776.1786072358834	550.0148091716821	361.3087001183429	135.5	225	92	38.18311144995913
54	0.049475405	0.008700775	674.0662429782536	1986.3764282769785	249.4546672378976	352.91717742050736	102.05	231	48	37.85033024955
55	0.04805509	0.0077057597	885.343012626959	2303.0895234277164	290.47604825104446	524.2550685156872	124.9	261	54	55.18505232397629
56	0.047613204	0.008146432	813.5188880448942	2517.5311228064666	454.74899766288723	430.0101301644585	122.95	311	79	48.25709792351795
57	0.046678882	0.0073611415	584.7865508397639	1758.0114470706512	283.85094278917467	428.2851732668326	87.5	209	52	46.73168090278799
58	0.04698072	0.008031336	932.2339947393941	2906.7077115986103	281.9037451729974	660.9558560754098	125.65	315	53	67.13588831616069
59	0.04730954	0.01317489	593.0267366835958	913.8760852084337	388.786445722139	130.7486626430888	95.75	127	69	15.77299908070751
60	0.048242196	0.011082173	1028.7098216879456	4616.892279924345	465.61005438805836	916.5970650069706	138.6	472	81	86.50572235407319
61	0.047398575	0.009477955	792.6739597624911	1737.9791239755032	284.3630807281072	364.8842690477972	113.8	206	53	38.35179265692805
62	0.046164982	0.007543366	982.2332498215621	3021.6581364058898	303.65972858010934	663.4805798082559	133.15	324	59	65.61804248832786
63	0.045141187	0.0070102457	1031.4074957566572	2343.7276944266023	354.224216755503	608.2270129159645	141.7	266	65	63.573658066844004
64	0.046070747	0.009745123	813.051240087803	2360.7640092430584	349.95064212920767	533.3574396010002	115.1	267	62	54.02119954240187
65	0.045830626	0.008704089	808.6714069658866	1957.940617028898	512.2892238370553	329.9784497624657	119.3	240	86	35.28469923352046
66	0.044934772	0.0071918117	941.2071074713649	2582.7089713660966	489.6150604318002	592.2097301202849	129.9	290	80	58.64460759524272
67	0.04485478	0.0077658272	1360.0425791489738	4643.047612116287	514.0644031779776	1063.7306570810943	174.9	487	84	102.82553184885552
68	0.044766326	0.008818314	747.7384707523329	1465.480594697505	329.7460791789922	271.57132154993116	112.6	190	60	31.106912415088708
69	0.044018246	0.00711721	846.0603052185768	2141.3705582211433	447.7260866186543	362.6023110709507	124.1	258	79	38.35609469171751
70	0.043859005	0.0074999006	787.2671264711001	1278.8233024784956	525.686790277456	191.12522050794257	116.6	168	86	20.883965140748536
71	0.04474722	0.007951703	1184.1982132820096	3393.5675497341863	474.45577619613323	878.6722834504351	157.75	382	81	89.66151627091747
72	0.04388346	0.008629017	978.9827143490836	1866.1454717444253	273.959240158038	410.7888439982004	133.7	221	51	43.00011627891254
73	0.043766115	0.006806678	918.4034155055333	2438.260360640444	449.43989915214155	537.8625716503212	131.45	283	78	54.41826439716724
74	0.04384965	0.0074908687	902.1161916263942	2490.2742071978737	294.5472097410168	509.40391999050786	126.25	284	55	53.666446686919755
75	0.044249352	0.008130762	605.0199469755074	2022.7814632795898	294.26985257862736	352.5997887682206	93.8	251	55	39.64668964743463
76	0.043776464	0.007422512	798.3992922740833	2563.570314075991	494.90313409094006	443.2520939353123	118.25	298	84	45.72950360544055
77	0.042890545	0.0066567874	1051.2493286409558	2257.6959917718414	307.31710781747654	499.71604781650313	140.4	261	56	51.40953219005207
78	0.042704657	0.008198025	1041.6238607570901	1888.7619578002482	453.13846594540524	404.3321733777279	140.6	226	75	41.125904245378
79	0.0416947	0.007103826	733.6900435763565	1249.8829835172228	389.23760429703026	218.707601576369	108.1	165	67	24.635137507227356
80	0.0424239	0.006710001	640.455981790596	1008.9056983573835	305.19383291224017	155.13682301586448	99.7	137	56	18.330575550156627
81	0.04168697	0.007233499	822.5069997501314	2022.4364529853792	410.587819673738	389.3211129615346	118.05	236	73	39.971833833338195
82	0.041841775	0.007043779	1051.9372691318983	3104.686836113369	480.5551675625953	652.9708325087626	145.55	330	85	63.61090708361264
83	0.04164898	0.0070127514	974.4538856418785	4192.104311600303	312.8717338012168	949.9025416171789	131.95	447	58	94.90862711050033
84	0.042684596	0.011089686	1245.4130615393142	4820.4762835285765	510.9210671786064	998.6900328188063	161.85	491	85	93.52447540617376
85	0.040899083	0.00675916	774.7187090328923	1662.9017503692116	502.8889804991923	281.8722027086375	116.4	204	85	28.485785929126127
86	0.042011146	0.0074274978	941.7969700163998	4260.784168511093	275.8647555139582	825.3194266870009	127.65	438	52	79.30338895658875
87	0.041993607	0.007056202	1052.5975938500012	3559.9137579796666	393.98741350388667	710.2521153404182	142.1	378	71	69.41390350643019
88	0.04087298	0.006238572	1085.597149423771	4507.410676607248	348.781588360487	987.0624048352826	142.8	480	62	96.81559791686463
89	0.040715087	0.007116742	1074.5736251084606	3001.323555983219	341.1543744477301	611.629157608456	143.3	338	62	63.215583521786776
90	0.040704228	0.007854772	1539.6286379964279	4401.950141361627	429.6437075809939	1165.607529386702	187.2	452	72	111.7226924129561
91	0.041346144	0.006783192	1021.7810234544586	3728.132708626893	283.2385878835361	1028.4317873867606	132.4	390	53	100.55963404865793
92	0.040001202	0.006100755	1296.7449209597455	3787.680489317458	562.8416874873006	865.1433854905963	166.7	404	90	84.57428687254773
93	0.040054075	0.0066103395	1033.2339576070028	2585.6377997286845	458.2111738602887	570.6058066723226	142.1	289	78	56.82508249004131
94	0.040011726	0.006909372	1787.3185108642167	6976.82464558082	587.9749328352925	1545.8850927960723	221.15	716	97	150.39357532820344
95	0.040416956	0.0073922956	1486.0605235881278	10050.742484544	482.19813049182056	2192.019683403722	183.15	986	81	205.75744822484558
96	0.040357523	0.007365342	1457.8684995954072	7678.296188666686	493.6421743425966	1555.0402365205018	187.8	774	83	148.64676249417613
97	0.040100437	0.010304596	1520.2246079752517	6850.000638293532	515.2143420389992	1437.7791209859124	187.2	675	87	134.41748398180945
98	0.040038183	0.0060837977	1135.392141099728	3618.7018491687077	474.57857430261885	815.1408600420748	150.3	380	78	78.56341387694403
99	0.03961365	0.0065050377	740.7823257166829	1951.3812524207447	340.0193055690202	345.0601803701414	110.6	230	61	35.442065402569305
